query_table,query_value,candidate_table,candidate_value
governmentagency_left,new york city health and hospitals corporation,governmentagency_right,nyc health + hospitals
motorsportseason_left,2004 red bull air race world series season,motorsportseason_right,2004 red bull air race world series
givenname_left,takeru,givenname_right,takeru (name)
motorsportseason_left,1952 nascar grand national season,motorsportseason_right,1952 nascar grand national series
country_left,liao dynasty,country_right,liao dynasty
clericaladministrativeregion_left,patriarchate of lisbon,clericaladministrativeregion_right,patriarch of lisbon
politicalparty_left,radical democracy party (chile),politicalparty_right,radical democracy (chile)
race_left,sajc breeders' stakes,race_right,breeders' stakes (sajc)
motorsportseason_left,1990 all japan sports prototype car endurance championship season,motorsportseason_right,1990 all japan sports prototype car endurance championship
case_left,"wabash, st. louis & pacific railway company v. illinois",case_right,"wabash, st. louis & pacific railway co. v. illinois"
reptile_left,sekukhune flat lizard,reptile_right,sekukhune flat lizard
historicbuilding_left,st. andrew-by-the-wardrobe,historicbuilding_right,st andrew-by-the-wardrobe
sportsleague_left,rugby league charity shield (australia),sportsleague_right,charity shield (nrl)
song_left,where could he be,song_right,where could he be?
case_left,securities and exchange commission v. w. j. howey co.,case_right,sec v. w. j. howey co.
clericaladministrativeregion_left,syro-malabar catholic diocese of kanjirappally,clericaladministrativeregion_right,syro-malabar catholic eparchy of kanjirappally
stadium_left,arena fonte nova,stadium_right,itaipava arena fonte nova
wrestler_left,jon hugger,wrestler_right,john hugger
reptile_left,common garden skink,reptile_right,common garden skink
country_left,aussa sultanate,country_right,sultanate of aussa
unitofwork_left,arkansas game and fish commission v. united states,unitofwork_right,arkansas game & fish commission v. united states
monarch_left,bhuvanekabahu vii of kotte,monarch_right,bhuvanaikabahu vii of kotte
motorsportseason_left,2012 fia european formula 3 championship season,motorsportseason_right,2012 european formula 3 championship
legislature_left,national assembly (mauritania),legislature_right,national assembly of mauritania
clericaladministrativeregion_left,roman catholic diocese of syros and milos,clericaladministrativeregion_right,roman catholic diocese of syros
noble_left,"philip herbert, 4th earl of pembroke",noble_right,"philip herbert, 4th earl of pembroke (10th creation)"
historicbuilding_left,all saints united reform church,historicbuilding_right,all saints united reformed church
song_left,wedding bells are breaking up that old gang of mine,song_right,wedding bells are breaking up that old gang of mine
historicbuilding_left,"st. mary's basilica, halifax",historicbuilding_right,st. mary's basilica (halifax)
ethnicgroup_left,scottish australian,ethnicgroup_right,scottish australians
givenname_left,ellen (given name),givenname_right,ellen
wrestler_left,"rayo de jalisco, sr.",wrestler_right,rayo de jalisco sr.
sportfacility_left,fifth third field (toledo),sportfacility_right,"fifth third field (toledo, ohio)"
reptile_left,narrow-tailed four-clawed gecko,reptile_right,narrow-tailed four-clawed gecko
televisionstation_left,sporttv 3,televisionstation_right,sport.tv3
soccertournament_left,2003 south american u-20 championship,soccertournament_right,2003 south american youth championship
hospital_left,lexington veterans affairs medical center,hospital_right,lexington va medical center
clericaladministrativeregion_left,diocese of roskilde (roman-catholic),clericaladministrativeregion_right,roman catholic diocese of roskilde
magazine_left,exame (magazine),magazine_right,exame
clericaladministrativeregion_left,diocese of keewatin,clericaladministrativeregion_right,anglican diocese of keewatin
railwayline_left,douglas branch,railwayline_right,douglas branch
stadium_left,baluan sholak palace of culture and sports,stadium_right,baluan sholak sports palace
amphibian_left,luzon narrow-mouthed frog,amphibian_right,luzon narrow-mouthed frog
shoppingmall_left,south city (shopping mall),shoppingmall_right,south city mall
artwork_left,guernica (painting),artwork_right,guernica (picasso)
stadium_left,zayed sports city stadium,stadium_right,sheikh zayed stadium
country_left,lorraine (duchy),country_right,duchy of lorraine
magazine_left,afternoon (magazine),magazine_right,monthly afternoon
song_left,stones throw from hurtin',song_right,stones throw from hurtin'
naturalevent_left,1914 burdur earthquake,naturalevent_right,1914 afyon-bolvadin earthquake
sportsleague_left,gomtv global starcraft ii league,sportsleague_right,global starcraft ii league
race_left,ajc queen elizabeth stakes,race_right,queen elizabeth stakes (atc)
footballleagueseason_left,1995 swedish football division 3,footballleagueseason_right,1995 swedish football division 3
case_left,"verizon communications v. law offices of curtis v. trinko, llp",case_right,"verizon communications inc. v. law offices of curtis v. trinko, llp"
ethnicgroup_left,pakistani jews in israel,ethnicgroup_right,pakistanis in israel
politicalparty_left,people's party for work and betterment,politicalparty_right,people's party for work and betterment
motorsportseason_left,1998 superbike world championship season,motorsportseason_right,1998 superbike world championship
amphibian_left,ramsey canyon leopard frog,amphibian_right,ramsey canyon leopard frog
song_left,shame on you (thomas thordarsson song),song_right,shame on you (tomas thordarson song)
soccerleague_left,fa wsl,soccerleague_right,fa wsl 1
sportfacility_left,penang international sports arena,sportfacility_right,spice arena
motorsportseason_left,2001 formula renault 2000 eurocup season,motorsportseason_right,2001 formula renault 2000 eurocup
reptile_left,yinnietharra rock dragon,reptile_right,yinnietharra rock dragon
ethnicgroup_left,samoan new zealander,ethnicgroup_right,samoan new zealanders
basketballteam_left,bintulu rainbow bc,basketballteam_right,bintulu eagles b.c.
song_left,ai se eu te pego,song_right,ai se eu te pego!
motorsportseason_left,2009 german formula three season,motorsportseason_right,2009 german formula three championship
soccertournament_left,2009 uefa women's u-17 championship,soccertournament_right,2009 uefa women's under-17 championship
magazine_left,spur (magazine),magazine_right,spur (australian newspaper)
drug_left,pericyazine,drug_right,periciazine
unitofwork_left,weaver v. palmer brothers company,unitofwork_right,weaver v. palmer brothers co.
naturalevent_left,1509 istanbul earthquake,naturalevent_right,1509 constantinople earthquake
stadium_left,iksan south korea national baseball team training stadium,stadium_right,"south korea national baseball team training stadium, iksan"
case_left,continental television v. gte sylvania,case_right,"continental television, inc. v. gte sylvania, inc."
televisionstation_left,wwme-ca,televisionstation_right,wwme-cd
soccerleague_left,i-league u20,soccerleague_right,i-league u18
historicbuilding_left,"st. andrew's church, chale",historicbuilding_right,"st andrew's church, chale"
sportfacility_left,aleppo shrine auditorium,sportfacility_right,aleppo shriners auditorium
historicbuilding_left,holy name of jesus church in san francisco,historicbuilding_right,holy name of jesus church (san francisco)
sportsleague_left,afghan premier league,sportsleague_right,afghan national league
tournament_left,copa masters conmebol,tournament_right,copa master de conmebol
reptile_left,peringuey's leaf-toed gecko,reptile_right,peringuey's leaf-toed gecko
monarch_left,balarama varma,monarch_right,avittom thirunal balarama varma
song_left,beat goes on (song),song_right,beat goes on (madonna song)
country_left,liu song dynasty,country_right,liu song dynasty
unitofwork_left,white-smith music publishing company v. apollo company,unitofwork_right,white-smith music publishing co. v. apollo co.
soccerclubseason_left,2008 australia national football team season,soccerclubseason_right,2008 australia national soccer team season
device_left,xperia play,device_right,sony ericsson xperia play
amphibian_left,bicol narrowmouth toad,amphibian_right,bicol narrowmouth toad
basketballteam_left,icbs bc,basketballteam_right,icbs b.c.
governmentagency_left,roads and traffic authority,governmentagency_right,roads & traffic authority
election_left,"united states senate election in pennsylvania, 1922",election_right,"united states senate elections in pennsylvania, 1922"
unitofwork_left,oregon dept. of fish and wildlife v. klamath indian tribe,unitofwork_right,oregon department of fish & wildlife v. klamath indian tribe
motorsportseason_left,2012 fia european formula 3 championship season,motorsportseason_right,2012 european formula 3 season
televisionstation_left,kxtq-ca,televisionstation_right,kxtq-cd
tennistournament_left,2009 carisap tennis cup,tennistournament_right,2009 san benedetto tennis cup
